"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","Classification","R","G","B","NIR"
460786.38,5262510.43,44.3,29716,2,2,0,21845,20560,22359,26438
460786.49,5262509.84,49.03,28930,1,2,0,32382,29812,28784,37097
460786.47,5262510.08,37.13,28222,2,2,0,16962,16705,18761,24068
460786.73,5262508.75,47.97,29349,1,2,0,35209,32125,28784,32459
460786.81,5262508.36,47.9,30880,1,2,0,38550,34952,34181,32745
460786.86,5262508.18,42.96,29012,2,3,0,23130,22873,22873,35773
460786.96,5262507.63,47.84,30542,1,3,0,28784,24929,24158,29131
460787.04,5262507.25,47.3,30749,1,2,0,31097,27499,26728,36955
460787.12,5262506.9,46.82,31387,1,1,0,28784,26471,25700,37122
460787.19,5262506.54,46.52,28583,1,5,0,22102,21588,21845,31685
460787.04,5262507.31,40.91,28134,3,5,0,19532,19275,20560,26477
460786.45,5262510.48,0,31758,1,1,2,13878,13878,16705,27917
460786.54,5262510.07,0,32364,1,1,2,16705,14392,16448,29015
460787.28,5262506.33,23.75,28864,2,3,0,34438,31868,31354,26176
460786.9,5262508.37,0,28261,3,3,2,33924,30326,28013,37559
460787.56,5262504.94,29.19,29435,2,3,0,17990,16962,16962,31425
460787.57,5262504.93,25.62,27858,4,4,0,28784,26214,23644,37473
460787.64,5262504.57,28.96,28897,2,4,0,24415,23130,22873,30847
460787.6,5262504.77,27.15,28556,3,4,0,25186,22873,21074,33540
460787.99,5262502.8,43.41,29929,1,4,0,10537,9766,11822,32381
460787.67,5262504.46,26.8,27908,2,2,0,29555,27242,24929,38711
460787.78,5262503.94,26.92,28334,2,2,0,23130,21074,19532,35995
460788.46,5262500.47,53.34,29068,1,3,0,36237,34438,31354,34358
460788.15,5262502.08,39.23,28144,3,3,0,15163,14649,16191,35339
460788,5262502.84,29.33,27826,3,4,0,27756,25443,23644,33160
460788.3,5262501.32,42.19,30306,2,4,0,26471,25443,24672,40595
460788.53,5262500.13,52.66,28029,1,4,0,29298,26471,25957,36829
460787.94,5262503.19,26.47,27819,4,4,0,24158,22873,21331,32100
460788.48,5262500.44,46.86,31220,1,1,0,32639,28270,25700,40146
460788.57,5262500.02,46.79,31584,1,1,0,34695,29555,27242,42558
