"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","Classification","R","G","B","NIR"
460670.62,5262502.9,0.05,31424,1,1,0,16448,15934,19275,9755
460669.45,5262498.27,5.32,30463,1,2,0,24158,22873,23387,0
460669.5,5262498.39,4.84,30247,1,2,0,21845,22616,21588,0
460668.86,5262496.35,0,29769,2,2,2,21845,22102,21331,0
460669.62,5262498.78,5.05,29428,1,2,0,19789,19789,20303,0
460669.1,5262497.1,0.34,29743,2,2,0,20303,19789,20560,0
460669.6,5262498.71,3.86,30506,1,2,0,21331,21074,21845,0
460669.2,5262497.41,0,31699,1,1,2,20560,19275,20303,0
460669.31,5262497.77,0,31669,1,1,2,14135,13878,17476,9984
460669.46,5262498.25,0.05,31709,1,1,0,15934,15677,18761,10427
460669.62,5262498.74,0.55,31325,1,1,0,17219,16962,20560,10977
460669.71,5262499.04,0.28,31410,1,1,0,12593,13364,17990,9552
460669.85,5262499.48,0.37,31528,1,1,0,11051,11822,17219,12132
460670.06,5262500.12,0,30686,2,2,2,10280,11822,16448,15491
460670.47,5262501.44,2.98,30621,1,2,0,11051,11822,16448,16477
460670.56,5262501.72,2.94,30637,1,2,0,12336,14135,19018,13689
460670.18,5262500.5,0,30372,2,2,2,12850,14649,19532,12036
460670.69,5262502.1,0.23,32049,1,1,0,18504,17733,21331,12636
460670.79,5262502.43,0,31535,1,1,2,19789,18247,20817,13220
460671.14,5262503.52,0.59,29487,2,3,0,34695,32639,33924,10703
460671.05,5262503.22,0,30316,3,3,2,32639,30840,31868,10778
460669.74,5262497.99,4.65,29241,1,3,0,29041,26214,25443,0
460669.07,5262495.87,0,30595,3,3,2,40349,35980,33924,0
460669.56,5262497.44,3.66,28189,2,3,0,33667,30583,29555,0
460669.79,5262498.14,4.31,30021,1,2,0,23130,21845,21845,0
460669.85,5262498.35,3.83,30998,1,2,0,23387,21845,22359,0
460669.89,5262498.46,3.39,29461,1,2,0,19532,19018,19789,0
460669.83,5262498.24,0,31836,1,1,2,17476,16705,19018,12908
460670.08,5262499.02,0,31692,1,1,2,10537,11822,16962,10464
460670.19,5262499.37,0,31600,1,1,2,9766,11051,16191,9333
460670.3,5262499.73,0,31794,1,1,2,10280,11565,16705,9183
460670.53,5262500.45,0,31751,1,1,2,10537,11822,16705,10081
460670.76,5262501.16,0,31322,1,1,2,14392,12850,15934,11078
460670.9,5262501.61,0.16,31689,1,1,0,12593,12593,16448,10298
460671.27,5262502.77,0.97,30729,1,2,0,26728,23644,23644,13496
460671.13,5262502.32,0,29526,2,2,2,27242,24158,24158,13604
460671.38,5262503.1,0.9,30889,2,3,0,25443,22616,22873,14560
460671.25,5262502.71,0,28265,3,3,2,26985,24158,24158,14584
460671.65,5262503.95,0.94,31116,2,2,0,13621,14135,17219,12948
460672.01,5262505.11,2.56,28393,1,2,0,11308,11822,16962,11628
460671.75,5262504.28,0.66,31076,2,2,0,10794,11565,16448,10980
460671.9,5262504.73,0.97,30663,2,2,0,13878,14649,19275,10725
460672.02,5262505.11,0,31384,1,1,2,12336,12593,17733,7744
460669.82,5262497.39,3.45,28189,1,2,0,43433,38550,35466,0
460669.34,5262495.87,0,31184,2,2,2,43690,38293,34952,0
460669.49,5262496.31,0.19,31073,2,2,0,21074,18761,20560,0
460669.93,5262497.75,3.33,29113,1,2,0,23130,20817,21588,0
460670.12,5262498.32,3.77,30159,1,2,0,19532,19018,20046,0
460669.71,5262497.03,0.89,30775,2,2,0,18504,17990,19532,0
460669.72,5262497.05,0,31650,1,1,2,15420,14906,17733,0
460669.85,5262497.45,0,31545,1,1,2,28013,25700,26471,0
460670,5262497.94,0.46,31738,1,1,0,19018,17733,19532,12132
460670.18,5262498.5,0,31866,1,1,2,13878,13621,17990,8709
460670.55,5262499.64,0,31371,1,1,2,10537,11565,16448,8912
460670.75,5262500.29,0.68,31138,1,1,0,11051,11565,16962,9738
460670.88,5262500.68,0,31984,1,1,2,15420,15677,19275,9585
460670.99,5262501.03,0,31541,1,1,2,15163,14906,18761,11134
460671.5,5262502.64,0.92,31007,1,1,0,30069,25957,24158,16243
460671.75,5262503.42,0,31299,1,1,2,13364,13621,18504,13001
460671.89,5262503.84,0,29320,3,3,2,13878,14906,20303,10258
460672.27,5262505.05,0.96,31102,1,1,0,15677,16191,20046,9687
460672.48,5262505.7,0,31535,1,1,2,19018,18504,22359,14746
460669.69,5262496.17,0.93,31417,1,1,0,29555,24672,24672,0
460669.82,5262496.58,0,31476,1,1,2,14135,14135,17219,0
460670.07,5262497.37,0.04,31381,1,1,0,27756,24929,25700,0
460670.65,5262499.17,0,31777,1,1,2,13364,14135,18504,8665
460671.01,5262500.32,0,31453,1,1,2,13364,14392,17219,9727
460671.15,5262500.73,0.13,29228,2,2,0,18761,19532,21074,11837
460671.43,5262501.64,2.25,30536,1,2,0,17733,18504,20303,11315
460671.31,5262501.26,0.53,31247,1,1,0,16191,16705,19789,9665
460671.38,5262501.47,0.22,31509,1,1,0,13621,13364,16962,10599
460671.62,5262502.23,0.79,31469,1,1,0,27499,24415,24415,13395
460671.87,5262503.01,0.69,31109,1,1,0,17476,16191,17733,20194
460671.91,5262503.12,0,31319,1,1,2,13878,13364,17990,12820
460672.38,5262504.63,2.8,29113,1,2,0,10794,11051,16705,11365
460672.06,5262503.59,0.37,31145,2,2,0,11308,11308,16962,10611
460672.52,5262505.07,3.07,28245,1,3,0,15934,16191,21588,10848
460672.16,5262503.9,0,28753,3,3,2,17219,17476,22359,11374
460672.3,5262504.37,1.36,30486,2,3,0,16705,16962,21845,11267
460672.34,5262504.48,0.74,30962,1,1,0,12850,12593,16705,12490
460672.59,5262505.26,0.9,31132,1,2,0,13621,13364,16962,11140
460672.79,5262505.9,0.81,31050,1,1,0,15420,14906,18247,13754
460672.99,5262506.52,0.85,31273,1,1,0,18761,18247,19532,17299
460672.99,5262506.51,0,31469,1,1,2,22102,21331,20817,26502
460669.93,5262496.12,0,31532,1,1,2,13107,13878,17219,0
460670.09,5262496.63,0.53,31600,1,1,0,12336,12593,17733,0
460670.48,5262497.84,0.5,31469,1,1,0,22873,21331,24158,14681
460670.76,5262498.74,0,31637,1,1,2,12850,13107,18247,9482
460671,5262499.49,0.85,31076,1,1,0,16448,16705,21588,9205
460671.53,5262501.16,2.98,30172,1,2,0,12079,13107,16448,9829
460671.79,5262501.97,3.77,29897,1,2,0,15934,16962,19018,10768
460671.68,5262501.63,2.25,30916,1,2,0,18761,19789,20560,13425
460671.71,5262501.71,0.66,31188,1,1,0,15677,15677,18761,12054
460671.88,5262502.24,0,31492,1,1,2,33153,28013,26214,23240
460672.14,5262503.07,0.07,31469,1,1,0,12079,11565,16962,11324
460672.6,5262504.52,2.73,30542,1,2,0,14649,14135,19532,9504
460672.47,5262504.1,0.58,31168,1,1,0,17476,17219,21331,11682
460672.6,5262504.51,0.91,31233,1,1,0,16191,15934,19275,13295
460672.83,5262505.21,0,31496,1,1,2,15934,15420,18504,17026
460673.09,5262506.05,1.34,31302,1,1,0,14135,13878,16448,16802
460673.22,5262506.46,0.97,30860,1,2,0,28270,27242,26985,23543
460673.04,5262505.86,0,29189,2,2,2,28270,27242,26728,25796
460673.38,5262506.95,0,31433,1,1,2,24415,23387,21074,17534
460670.14,5262495.88,0.51,31076,1,1,0,16705,16191,19532,0
460670.33,5262496.46,0,31574,1,1,2,13107,12850,17476,0
460670.62,5262497.39,1.19,29608,1,2,0,13621,12593,15677,0
460670.44,5262496.81,0,31011,2,2,2,13621,12850,15677,0
460670.63,5262497.43,0.38,31237,1,1,0,22616,20560,22102,0
460670.83,5262498.06,0,31863,1,1,2,12079,11565,14906,13893
460670.97,5262498.48,0,31902,1,1,2,14392,14135,17733,10798
460671.09,5262498.86,0,31673,1,1,2,13878,13878,18247,10128
460671.2,5262499.21,0,30342,2,2,2,26985,26985,26728,12591
460671.89,5262501.4,4.26,30313,1,2,0,15934,16448,20046,9969
460671.32,5262499.57,0,30804,2,2,2,16962,17733,20560,11527
460672.01,5262501.78,4.27,29077,1,2,0,15677,16705,18247,15722
460671.54,5262500.28,0.8,30509,2,2,0,18247,19275,20046,17420
460672.1,5262502.05,3.86,31243,1,1,0,21588,22873,23644,14980
460671.8,5262501.07,0,31584,2,2,2,16962,18247,19789,14706
460672.04,5262501.84,0.85,31270,1,1,0,15163,14649,17476,16520
460672.08,5262501.95,0.15,31525,1,1,0,26214,23901,23901,21921
460672.35,5262502.8,0.34,31443,1,1,0,10537,10794,15420,11842
460672.78,5262504.19,2.81,30218,1,2,0,13621,13364,18247,9763
460672.88,5262504.5,2.58,29412,1,2,0,15163,15163,18504,10858
460672.67,5262503.82,0,29235,2,2,2,14906,14135,18504,14634
460672.81,5262504.26,0.27,31247,1,1,0,21331,21074,22616,24273
460672.9,5262504.53,0,31735,1,1,2,22359,22102,23901,23970
460673.04,5262504.97,0,31486,1,1,2,13621,13107,17476,15073
460673.24,5262505.61,1.05,31450,1,1,0,16191,16191,18504,14697
460673.33,5262505.88,0.57,31646,1,1,0,24158,23644,23130,30052
460673.38,5262506.03,0,31263,1,1,2,25957,24929,23130,30270
460673.75,5262507.2,0.05,31571,1,1,0,33153,31354,29298,24831
460673.88,5262507.62,0.52,30853,1,1,0,28784,28527,27242,18149
460670.37,5262495.94,0,31358,1,1,2,16705,15677,19789,0
460670.79,5262497.25,0.47,31410,1,1,0,15163,13621,16962,0
460670.99,5262497.89,0,31958,1,1,2,13364,13364,16705,11917
460672.18,5262501.65,4.12,31079,1,2,0,18761,19789,21331,14979
460671.6,5262499.79,0,28606,2,2,2,18761,20046,20817,17630
460671.87,5262500.65,0.38,28995,2,2,0,17990,18761,20303,23385
460671.95,5262500.89,0,29277,2,2,2,15163,16191,18761,15195
460672.26,5262501.89,2.24,30998,1,2,0,16962,17990,20046,14843
460672.39,5262502.3,2.13,28897,1,3,0,13621,13364,16962,14198
460672.25,5262501.84,0.3,31371,1,1,0,17476,17476,19789,19259
460672.55,5262502.78,0.61,31466,1,1,0,12079,12593,16962,10484
460672.94,5262504.02,2.63,29405,1,2,0,14392,14649,19789,10104
460672.73,5262503.34,0,31594,1,1,2,17219,16962,19532,11520
460672.99,5262504.16,1.2,30565,1,2,0,15677,15163,18761,13451
460673.12,5262504.55,1.12,31142,1,1,0,22616,22102,23644,23735
460673.4,5262505.45,0.45,31296,1,1,0,19018,19018,21331,15318
460673.5,5262505.76,0.73,31692,1,1,0,22873,22616,22102,25658
460673.89,5262506.98,0,30899,2,2,2,30326,28527,26985,34593
460674,5262507.32,0,31171,1,1,2,28527,27242,25186,29959
460674.22,5262508.02,0.1,31384,1,1,0,29812,29041,28013,31670
460674.36,5262508.45,0.21,30686,2,2,0,18247,18247,20303,21065
460670.79,5262496.61,0,31528,1,1,2,23387,22102,23644,0
460670.91,5262496.98,0,28907,2,2,2,15163,15420,19275,0
460671.04,5262497.41,0.85,30378,1,2,0,15163,15163,19018,0
460671.29,5262498.18,0,32308,1,1,2,19018,18247,21845,10878
460672.24,5262501.2,5.07,29861,1,2,0,31868,30583,29298,18857
460671.57,5262499.08,0.31,30952,2,2,0,35209,33153,30583,22185
460672.3,5262501.38,4.54,31089,1,2,0,19018,21074,21845,19342
460672.4,5262501.68,2.39,30873,1,1,0,17476,18247,20560,21474
460672.47,5262501.9,2.31,31011,1,1,0,12079,13107,16191,16067
460672.29,5262501.34,0,30300,2,2,2,12593,12079,15677,12939
460672.56,5262502.18,1.01,31355,1,1,0,14649,15677,18761,17527
460672.54,5262502.09,0,31610,1,1,2,12336,12593,15934,12754
460672.72,5262502.66,0.44,31525,1,1,0,13364,13878,18247,9689
460672.81,5262502.95,0.07,31243,1,1,0,13878,13107,17476,10505
460672.91,5262503.27,0,31817,1,1,2,16705,16191,18247,11765
460673.04,5262503.67,0.08,31351,1,1,0,17476,16705,19789,15745
460673.34,5262504.62,1.58,30640,1,2,0,24929,24415,25443,24943
460673.15,5262504,0,29572,2,2,2,25443,24929,25957,25668
460673.37,5262504.7,0,31469,1,1,2,18504,17733,20046,17697
460673.79,5262506.02,1.21,31597,1,1,0,26728,26471,25186,28434
460674.13,5262507.11,0.64,31001,1,1,0,28013,26728,25443,31624
460674.42,5262507.99,0,31509,1,1,2,27756,27242,27242,27989
460670.9,5262496.23,1.03,30994,1,1,0,16448,15677,17990,0
460670.88,5262496.15,0,31597,1,1,2,26728,23644,23901,0
460670.99,5262496.48,0,31522,1,1,2,29298,27756,29555,0
460671.15,5262496.99,0,31525,1,1,2,17733,16191,18504,0
460671.29,5262497.46,0.07,31925,1,1,0,28784,25186,25186,10381
460671.56,5262498.28,0.13,31597,1,1,0,21845,20046,21331,13635
460671.7,5262498.72,0.19,31528,1,1,0,29298,24415,23387,16285
460672.46,5262501.13,4.94,30627,1,2,0,33410,31611,29298,23959
460672.54,5262501.4,4.62,31233,1,1,0,19018,21074,21845,21623
460672.59,5262501.54,4.07,30919,1,1,0,17990,19275,20303,23746
460672.64,5262501.7,3.74,30722,1,2,0,16705,17476,20046,22517
460672.56,5262501.45,2.05,30821,1,1,0,12336,12850,16962,19686
460672.52,5262501.29,0,31197,1,1,2,10794,12336,17990,12262
460672.66,5262501.74,0.3,31204,1,1,0,15934,15163,17990,12704
460673.22,5262503.5,2.57,29900,1,2,0,14649,14135,17733,10892
460673.29,5262503.72,2.05,29592,1,2,0,20046,19018,22873,10413
460673.08,5262503.06,0.54,30670,2,2,0,20046,18761,22616,10724
460673.35,5262503.89,0.8,31030,1,2,0,17476,15934,19275,16240
460673.38,5262503.99,0,30614,2,2,2,23387,22102,23130,23037
460673.63,5262504.77,0,30591,2,2,2,26214,25957,25443,29109
460673.78,5262505.26,0.88,29913,1,2,0,25443,25186,24672,27057
460673.89,5262505.58,1.11,31270,1,1,0,23644,23387,22359,30772
460674.04,5262506.05,1.21,30844,2,2,0,26728,26728,24672,34207
460673.98,5262505.87,0,28838,2,2,2,27242,26985,26471,32507
460674.36,5262507.06,0.7,30463,2,2,0,26214,25443,24158,30552
460674.64,5262507.94,2.77,30631,1,2,0,26728,25957,24672,30095
460674.4,5262507.19,0,31155,1,1,2,31354,30583,29298,28882
460675.17,5262509.6,0.23,29802,2,2,0,21074,21845,22873,24320
460671.6,5262497.39,0,31732,1,1,2,39835,34952,33153,17357
460671.72,5262497.79,0,31738,1,1,2,25700,22102,23387,18597
460672.18,5262499.22,1.47,30929,2,2,0,44461,39578,36751,22309
460672.37,5262499.83,2.62,28448,1,2,0,42662,37779,34952,21554
460672.12,5262499.02,0.25,30899,2,2,0,21074,20560,21588,20706
460672.68,5262500.81,4.02,29467,1,2,0,23644,22616,22359,26470
460672.33,5262499.71,0.62,28874,2,2,0,16448,16448,17990,21111
460672.83,5262501.27,3.57,31040,1,2,0,15934,16962,19532,18584
460672.74,5262500.98,2.08,30562,1,2,0,13107,13107,17476,15303
460673.01,5262501.85,2.17,29890,1,2,0,11308,12079,16448,12952
460673.04,5262501.9,0.45,31741,1,1,0,24672,23130,23901,12651
460673.4,5262503.06,2.15,28533,1,2,0,20817,19018,20560,10957
460673.23,5262502.51,0.39,31243,1,1,0,19532,17990,20560,15468
460673.57,5262503.57,1.98,29405,1,2,0,19018,16705,19018,14918
460673.46,5262503.23,0.25,31217,1,1,0,26728,24672,24415,16037
460673.68,5262503.93,1.02,30922,1,1,0,16962,15677,19275,16581
460673.9,5262504.6,0,31260,1,1,2,28270,27756,26471,32387
460674.23,5262505.64,1.47,31247,1,1,0,25957,25700,24415,31793
460674.69,5262507.09,0.84,29382,3,3,0,29041,28270,26985,29784
460674.92,5262507.82,2.36,28969,2,3,0,28527,27499,26214,30449
460674.83,5262507.53,1.1,29084,2,2,0,30069,29298,28013,30767
460675.67,5262510.15,0.31,29910,2,2,0,19789,19532,20560,23616
460675.77,5262510.46,0,30244,2,2,2,21074,21331,22359,24818
460671.3,5262495.55,0.1,31754,1,1,0,24929,21331,20560,0
460671.41,5262495.91,0.08,31653,1,1,0,42919,39064,37265,0
460671.59,5262496.47,0.57,31761,1,1,0,30840,26985,27242,0
460671.76,5262497.01,0,31682,1,1,2,29041,24415,23130,0
460672.08,5262497.99,0,31643,1,1,2,32125,26985,24158,18939
460672.52,5262499.41,2.26,28904,1,2,0,35723,33667,28270,24330
460672.25,5262498.54,0.13,31279,2,2,0,34438,32896,27499,25943
460672.4,5262499,0.6,31561,1,1,0,20046,21331,21845,16880
460672.56,5262499.53,0.67,30228,2,3,0,13621,14135,17476,17536
460672.99,5262500.87,3.81,29186,1,3,0,15420,14906,18504,18962
460672.48,5262499.26,0.15,29012,3,3,0,13878,14392,17476,17479
460673.1,5262501.21,3.76,29074,1,2,0,16962,17476,20817,17439
460673.1,5262501.2,2.12,29815,1,2,0,11822,12336,17733,13453
460672.83,5262500.34,0,30998,2,2,2,12336,12850,18247,13127
460673,5262500.87,0.38,31191,1,1,0,10794,11565,16705,13051
460673.15,5262501.36,0.74,31545,1,1,0,12336,12593,17219,10981
460673.17,5262501.41,0,31227,1,1,2,15163,14649,18247,16959
460673.47,5262502.36,0.81,31066,1,1,0,17476,16962,20046,15912
460673.86,5262503.6,1.08,30827,1,2,0,24929,23130,22873,15193
460674.14,5262504.45,1.21,29982,2,2,0,24672,22873,23644,29871
460674.2,5262504.64,0.55,30821,1,1,0,25700,24158,24158,30672
460674.25,5262504.8,0,30791,2,2,2,27756,27499,26471,31760
460674.5,5262505.6,1.19,30355,2,2,0,28013,27756,26985,31074
460674.65,5262506.07,1.21,28776,2,2,0,26471,26214,25186,28020
460674.76,5262506.39,0.11,28874,2,2,0,25957,24929,24158,30357
460675.01,5262507.19,0,29992,2,2,2,24672,23644,22873,27785
460675.15,5262507.62,0,30041,3,3,2,22359,21845,21845,23107
460676.26,5262511.1,0,28969,2,2,2,18247,18247,21074,17484
460671.6,5262495.62,0.51,31365,1,1,0,43690,40863,39835,0
460671.78,5262496.18,0,31912,1,1,2,23130,19532,19532,0
460672.21,5262497.53,0,31351,1,1,2,39578,34181,32382,18115
460672.59,5262498.73,1.07,31443,1,1,0,32382,30326,29812,22064
460672.62,5262498.82,0.45,31532,1,1,0,15677,15677,19018,14933
460672.84,5262499.53,0,31669,1,1,2,12850,13364,16448,13009
460672.98,5262499.96,0.09,31774,1,1,0,11565,11822,17733,10249
460673.07,5262500.23,0,31895,1,1,2,11565,12079,16705,10495
460673.38,5262501.2,0.59,31427,1,1,0,14649,14392,18504,12899
460673.48,5262501.53,0.29,31443,1,1,0,15420,15163,18504,13909
460673.68,5262502.14,1.36,31132,1,1,0,19018,18761,20303,14460
460673.75,5262502.37,0.98,31387,1,1,0,16448,16448,19018,14459
460673.78,5262502.44,0.26,31381,1,1,0,18247,17476,20303,13056
460674.02,5262503.22,0.15,31083,1,1,0,20303,19018,19532,17943
460674.26,5262503.97,0.94,31011,2,2,0,19275,18504,20046,21518
460674.5,5262504.73,0.84,29480,3,3,0,25700,24158,24672,29797
460675.09,5262506.57,1.28,28530,2,2,0,22873,22359,23130,26572
460675.47,5262507.74,0,29303,4,4,2,28784,27756,26985,31970
460675.62,5262508.23,0.27,28425,3,3,0,31868,31354,28013,32951
460675.73,5262508.56,0,28032,3,3,2,32896,32125,29812,30378
460675.88,5262509.05,0,28176,3,3,0,23644,23130,22102,28073
460676.4,5262510.67,0,28563,3,3,2,16705,16705,18761,19082
460676.68,5262511.56,0.16,29762,2,2,0,16962,17219,18247,21356
460676.79,5262511.89,0,30978,1,1,2,25443,24929,25186,31432
460671.98,5262495.86,0.72,31460,1,1,0,39578,36751,34952,0
460672.01,5262495.96,0,31640,1,1,2,42148,38293,36494,0
460672.13,5262496.34,0,31509,1,1,2,34181,29298,26728,0
460672.27,5262496.79,0,31679,1,1,2,36751,31611,29041,0
460672.55,5262497.65,0.09,31578,1,1,0,35209,30583,27756,25295
460672.84,5262498.55,0.48,31564,1,1,0,15420,14906,17733,14591
460672.98,5262499.01,0.56,31394,1,1,0,14135,13878,17990,11900
460673.07,5262499.29,0.19,31702,1,1,0,13364,13621,19018,12330
460673.5,5262500.63,0.71,31476,1,1,0,20560,19275,21074,10040
460673.59,5262500.9,0.44,31368,1,1,0,19789,18761,20817,14009
460673.65,5262501.1,0,31253,1,1,2,15677,14906,17733,14433
460673.86,5262501.77,1.28,30758,1,2,0,18247,16448,18247,14654
460674.03,5262502.28,1.39,30237,1,2,0,22873,22359,23901,16185
460673.95,5262502.04,0,28894,2,2,2,17476,17476,20560,14625
460674.08,5262502.45,0.81,30660,1,2,0,16705,16962,20303,14196
460674.22,5262502.87,0.69,31378,1,1,0,21331,19789,21331,15635
460674.47,5262503.67,0.65,31070,1,1,0,19532,17990,19275,21971
460674.67,5262504.3,1.25,29054,3,3,0,20817,20046,21331,26580
460675.12,5262505.69,1.02,28760,2,2,0,28784,27756,26728,28031
460675.33,5262506.37,1.5,28887,2,2,0,22616,22102,22616,25079
460675.81,5262507.87,0.73,28730,5,5,0,35466,33924,32125,22937
460675.83,5262507.92,0,28717,4,4,2,31611,30840,28527,27754
460676.74,5262510.79,0,27858,3,3,2,25700,25186,25957,23285
