"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","Classification","R","G","B","NIR"
460665.79,5262496.3,0,31699,1,1,2,29812,26985,28270,0
460666,5262496.08,0,32010,1,1,2,23901,22359,25700,0
460666.22,5262496.8,0,31417,1,1,2,18504,17733,21074,0
460666.48,5262496.84,0.17,31990,1,1,0,20560,19275,22873,0
460666.72,5262497.6,0.23,32190,1,1,0,17733,17476,21074,0
460666.66,5262496.67,0.26,31905,1,1,0,22873,21074,22873,0
460666.79,5262497.07,0.48,31899,1,1,0,20817,18504,22102,0
460666.9,5262497.42,0.29,32298,1,1,0,15677,14906,17990,0
460667,5262497.73,0,31856,1,1,2,11308,11822,18247,8775
460666.98,5262496.74,0.12,31781,1,1,0,26471,24158,24672,0
460667.12,5262497.19,0.48,31692,1,1,0,24415,22873,24158,0
460667.41,5262498.07,0,31673,1,1,2,10023,10537,15934,8704
460667.66,5262498.87,0.83,31306,1,1,0,14135,14135,18761,9940
460667.66,5262498.86,0,31604,1,1,2,14649,14392,17733,8912
460667.17,5262496.63,0,31453,1,1,2,31868,29298,28527,0
460667.31,5262497.07,0.46,31774,1,1,0,24672,22873,23387,0
460667.48,5262497.59,0,31967,1,1,2,11822,12079,17476,8133
460667.81,5262498.64,0.5,31397,1,1,0,15677,15163,19018,11938
460668,5262499.23,0,31899,1,1,2,16962,17476,21331,13361
460668.12,5262499.62,0,31532,1,1,2,13621,14392,18761,10289
460667.79,5262497.9,4.15,27580,1,2,0,32896,29555,29298,0
460667.37,5262496.57,0.08,31296,1,1,0,32896,30840,29298,0
460668.06,5262498.73,0,31384,1,1,2,16705,16191,20046,10019
460668.2,5262499.17,0,31718,1,1,2,12079,12593,16448,13868
460668.34,5262499.6,0,31584,1,1,2,11822,12593,17219,10445
460668.06,5262497.91,4.25,31237,1,2,0,43690,40349,39064,0
460667.49,5262496.09,0,29068,2,2,2,29555,27242,26214,0
460668.04,5262497.86,3.26,30293,1,2,0,41891,40349,38807,0
460667.75,5262496.93,0,31368,1,1,2,32125,30840,30069,0
460667.86,5262497.28,0,31374,1,1,2,27242,26985,26728,0
460668.11,5262498.04,0,31558,1,1,2,11565,12850,17733,10906
460668.23,5262498.43,0,31492,1,1,2,17476,16191,19275,14091
460668.35,5262498.81,0,31522,1,1,2,14135,14392,19018,10683
460668.81,5262500.24,0.63,31315,1,1,0,10794,11822,17219,9447
460668.86,5262500.41,0,31637,1,1,2,12593,13364,18247,9937
460668.96,5262500.71,0,31584,2,2,2,12336,13878,18761,9208
460667.79,5262495.91,0,31774,1,1,2,36237,34181,33410,0
460668.32,5262497.6,2.86,30198,1,2,0,19275,19275,21331,0
460667.92,5262496.33,0,30585,2,2,2,24158,23387,23644,0
460668.29,5262497.48,1.83,30496,2,2,0,21331,20046,19018,0
460668.49,5262498.14,3.19,28936,1,2,0,22616,21074,20560,0
460668.79,5262499.07,4.62,29920,1,2,0,34438,33410,32125,0
460668.3,5262497.5,1.01,30522,2,2,0,28527,27499,26471,0
460668.28,5262497.45,0,31561,1,1,2,21074,21331,22616,0
460668.41,5262497.86,0,31165,1,1,2,13107,13364,17476,9004
460668.59,5262498.44,0.5,31777,1,1,0,13878,13621,17733,11466
460668.9,5262499.4,0,31358,1,1,2,12079,12850,17733,10140
460669.1,5262500.01,0.66,31060,1,1,0,11822,12593,17476,10443
460669.16,5262500.2,0.39,30152,2,2,0,14392,15677,18761,12989
460669.57,5262501.53,3.28,30463,1,2,0,12593,13364,17219,11144
460669.36,5262500.85,0,29081,2,2,2,13621,13621,17476,15135
460668.93,5262498.57,6.08,29589,1,2,0,38036,35723,34438,0
460668.98,5262498.72,5.5,28697,1,2,0,29555,28013,27242,0
460668.21,5262496.26,0,30090,2,2,2,27499,26728,26214,0
460669,5262498.8,4.89,29975,1,2,0,25186,24158,23387,0
460668.56,5262497.38,0.83,29785,2,2,0,20560,20303,19789,0
460669.08,5262499.02,4.48,30123,1,2,0,25186,24672,23901,0
460669.03,5262498.88,3.37,28845,1,2,0,22102,21845,23130,0
460668.71,5262497.85,0.23,31430,1,1,0,18761,17990,21588,10979
460668.85,5262498.27,0.17,31732,1,1,0,11565,11822,16448,12449
460669.07,5262498.98,0,31165,2,2,2,13878,14649,19018,11324
460669.46,5262500.22,3.05,29736,1,2,0,14649,15420,20046,10517
460669.45,5262500.18,2.12,30627,1,2,0,12593,13364,18247,9823
460669.53,5262500.42,1.69,30011,3,3,0,13107,13878,17990,12819
460669.83,5262501.39,3.87,29104,2,3,0,13107,13878,18247,11501
460669.97,5262501.83,4.64,29012,1,3,0,13107,13878,18247,11120
460670,5262501.91,3.88,31011,1,1,0,18247,19275,22102,15628
460670.1,5262502.24,4.19,31309,1,1,0,12850,14135,17733,16769
460670.16,5262502.43,3.71,31014,1,1,0,15420,16191,20046,14123
460670.08,5262502.16,2.16,28940,2,3,0,15163,15677,19275,13216
460669.79,5262501.23,0,28779,3,3,2,14649,15163,19275,10439
460668.41,5262495.94,0,28379,2,2,2,26471,25186,24929,0
460668.58,5262496.5,0.47,28065,2,2,0,21588,22102,21331,0
460668.71,5262496.89,0.25,29241,2,2,0,23387,23387,23387,0
460669.29,5262498.74,4.7,30388,1,2,0,22359,22102,22102,0
460668.82,5262497.25,0.37,29294,2,2,0,21074,21074,21588,0
460669.22,5262498.52,3.34,30444,1,2,0,19275,19275,19789,0
460669.38,5262499.02,3.59,30683,1,2,0,19018,18247,20046,0
460669.2,5262498.45,1.19,28946,1,2,0,14906,14906,18504,10955
460669.38,5262498.99,0,32030,1,1,2,13364,14135,18247,11012
460669.52,5262499.45,0,29628,3,3,2,12593,12850,18504,14357
460670.18,5262501.55,4.79,28304,1,3,0,12079,12850,17990,13480
460670.23,5262501.71,4.28,29248,1,4,0,12850,13107,18247,16365
460669.83,5262500.43,1.7,29179,3,4,0,12336,13107,17990,17636
460669.62,5262499.74,0,28481,4,4,2,12079,12850,17733,17916
460670.07,5262501.19,3.28,28619,2,4,0,12593,13107,17990,16964
460669.79,5262500.29,0.51,29117,2,2,0,14649,15420,19275,19012
460670.26,5262501.8,3.53,30968,1,2,0,13364,13878,17990,20425
460669.86,5262500.51,0,29526,2,2,2,10280,11565,16705,17077
460670.3,5262501.91,2.81,30948,1,2,0,10280,11565,16448,17246
460670.29,5262501.87,1.91,29982,1,2,0,11565,12079,17476,14382
460670.13,5262501.35,0,31496,2,2,2,14135,13878,19532,11261
460670.52,5262502.6,2.09,28609,1,2,0,12593,12850,17733,10587
460670.28,5262501.81,0.01,31132,2,2,0,12850,13107,17733,11229
460670.36,5262502.07,0.19,31325,1,1,0,15163,14906,19532,11878
460670.49,5262502.49,0.16,31384,1,1,0,15934,14906,19275,9689
